"Dates","Price"
"1789-05-03",0.51
"1789-06-07",0.51
"1789-07-05",0.5
"1789-07-31",0.51
"1789-09-06",0.51
"1789-10-04",0.51
"1789-11-01",0.5
"1789-12-06",0.5
"1790-01-03",0.49
"1790-02-07",0.49
"1790-03-07",0.5
"1790-04-04",0.5
"1790-04-30",0.52
"1790-06-06",0.53
"1790-07-04",0.53
"1790-08-01",0.54
"1790-09-05",0.55
"1790-10-03",0.56
"1790-11-07",0.55
"1790-12-05",0.57
"1790-12-31",0.58
"1791-02-06",0.59
"1791-03-06",0.59
"1791-04-03",0.6
"1791-05-01",0.6
"1791-06-05",0.6
"1791-07-03",0.6
"1791-08-07",0.61
"1791-09-04",0.62
"1791-09-30",0.62
"1791-11-06",0.62
"1791-12-04",0.63
"1792-01-01",0.63
"1792-02-05",0.62
"1792-03-04",0.62
"1792-04-01",0.62
"1792-05-06",0.59
"1792-06-03",0.58
"1792-07-01",0.57
"1792-08-05",0.57
"1792-08-31",0.56
"1792-10-07",0.54
"1792-11-04",0.54
"1792-11-30",0.54
"1793-01-06",0.55
"1793-02-03",0.57
"1793-03-03",0.58
"1793-04-07",0.59
"1793-05-05",0.59
"1793-05-31",0.6
"1793-07-07",0.6
"1793-08-04",0.6
"1793-09-01",0.6
"1793-10-06",0.61
"1793-11-03",0.61
"1793-12-01",0.62
"1794-01-05",0.63
"1794-01-31",0.64
"1794-02-28",0.66
"1794-04-06",0.66
"1794-05-04",0.68
"1794-06-01",0.7
"1794-07-06",0.71
"1794-08-03",0.73
"1794-09-07",0.74
"1794-10-05",0.74
"1794-10-31",0.76
"1794-12-07",0.76
"1795-01-04",0.76
"1795-02-01",0.78
"1795-03-01",0.77
"1795-04-05",0.78
"1795-05-03",0.78
"1795-06-07",0.78
"1795-07-05",0.77
"1795-07-31",0.77
"1795-09-06",0.75
"1795-10-04",0.75
"1795-11-01",0.74
"1795-12-06",0.73
"1796-01-03",0.73
"1796-02-07",0.72
"1796-03-06",0.71
"1796-04-03",0.71
"1796-05-01",0.7
"1796-06-05",0.67
"1796-07-03",0.67
"1796-08-07",0.66
"1796-09-04",0.65
"1796-09-30",0.65
"1796-11-06",0.64
"1796-12-04",0.63
"1797-01-01",0.63
"1797-02-05",0.63
"1797-03-05",0.62
"1797-03-31",0.62
"1797-05-07",0.61
"1797-06-04",0.61
"1797-06-30",0.61
"1797-08-06",0.6
"1797-09-03",0.59
"1797-10-01",0.58
"1797-11-05",0.58
"1797-12-03",0.58
"1798-01-07",0.57
"1798-02-04",0.58
"1798-03-04",0.59
"1798-04-01",0.6
"1798-05-06",0.61
"1798-06-03",0.62
"1798-07-01",0.63
"1798-08-05",0.65
"1798-08-31",0.67
"1798-10-07",0.68
"1798-11-04",0.68
"1798-11-30",0.69
"1799-01-06",0.69
"1799-02-03",0.71
"1799-03-03",0.71
"1799-04-07",0.72
"1799-05-05",0.73
"1799-05-31",0.73
"1799-07-07",0.74
"1799-08-04",0.74
"1799-09-01",0.74
"1799-10-06",0.76
"1799-11-03",0.77
"1799-12-01",0.79
"1800-01-05",0.8
"1800-01-31",0.8
"1800-02-28",0.85
"1800-04-06",0.89
"1800-05-04",0.9
"1800-06-01",0.92
"1800-07-06",0.94
"1800-08-03",0.96
"1800-09-07",1
"1800-10-05",1.01
"1800-10-31",1.01
"1800-12-07",1
"1801-01-04",0.98
"1801-02-01",0.96
"1801-03-01",0.91
"1801-04-05",0.88
"1801-05-03",0.84
"1801-06-07",0.81
"1801-07-05",0.77
"1801-07-31",0.74
"1801-09-06",0.71
"1801-10-04",0.68
"1801-11-01",0.65
"1801-12-06",0.63
"1802-01-03",0.59
"1802-02-07",0.6
"1802-03-07",0.6
"1802-04-04",0.6
"1802-04-30",0.61
"1802-06-06",0.61
"1802-07-04",0.62
"1802-08-01",0.62
"1802-09-05",0.63
"1802-10-03",0.64
"1802-11-07",0.65
"1802-12-05",0.65
"1802-12-31",0.66
"1803-02-06",0.67
"1803-03-06",0.68
"1803-04-03",0.7
"1803-05-01",0.71
"1803-06-05",0.71
"1803-07-03",0.71
"1803-08-07",0.72
"1803-09-04",0.72
"1803-09-30",0.73
"1803-11-06",0.74
"1803-12-04",0.75
"1804-01-01",0.77
"1804-02-05",0.8
"1804-03-04",0.83
"1804-04-01",0.86
"1804-05-06",0.89
"1804-06-03",0.93
"1804-07-01",0.96
"1804-08-05",1.01
"1804-08-31",1.06
"1804-10-07",1.08
"1804-11-04",1.09
"1804-11-30",1.11
"1805-01-06",1.14
"1805-02-03",1.12
"1805-03-03",1.12
"1805-04-07",1.11
"1805-05-05",1.11
"1805-05-31",1.12
"1805-07-07",1.11
"1805-08-04",1.1
"1805-09-01",1.09
"1805-10-06",1.09
"1805-11-03",1.09
"1805-12-01",1.1
"1806-01-05",1.11
"1806-01-31",1.15
"1806-02-28",1.19
"1806-04-06",1.21
"1806-05-04",1.17
"1806-06-01",1.24
"1806-07-06",1.26
"1806-08-03",1.3
"1806-09-07",1.29
"1806-10-05",1.26
"1806-10-31",1.24
"1806-12-07",1.2
"1807-01-04",1.17
"1807-02-01",1.11
"1807-03-01",1.03
"1807-04-05",0.97
"1807-05-03",0.91
"1807-06-07",0.86
"1807-07-05",0.81
"1807-07-31",0.65
"1807-09-06",0.72
"1807-10-04",0.69
"1807-11-01",0.66
"1807-12-06",0.65
"1808-01-03",0.65
"1808-02-07",0.66
"1808-03-06",0.67
"1808-04-03",0.69
"1808-05-01",0.71
"1808-06-05",0.74
"1808-07-03",0.77
"1808-08-07",0.79
"1808-09-04",0.83
"1808-09-30",0.86
"1808-11-06",0.89
"1808-12-04",0.9
"1809-01-01",0.94
"1809-02-05",0.97
"1809-03-05",1
"1809-03-31",1.01
"1809-05-07",1.03
"1809-06-04",1.07
"1809-06-30",1.11
"1809-08-06",1.13
"1809-09-03",1.15
"1809-10-01",1.17
"1809-11-05",1.19
"1809-12-03",1.19
"1810-01-07",1.18
"1810-02-04",1.18
"1810-03-04",1.17
"1810-04-01",1.16
"1810-05-06",1.16
"1810-06-03",1.15
"1810-07-01",1.13
"1810-08-05",1.15
"1810-08-31",1.06
"1810-10-07",1.05
"1810-11-04",1.04
"1810-11-30",1.02
"1811-01-06",1
"1811-02-03",1.01
"1811-03-03",1.02
"1811-04-07",1.03
"1811-05-05",1.05
"1811-05-31",1.06
"1811-07-07",1.08
"1811-08-04",1.06
"1811-09-01",1.03
"1811-10-06",1.01
"1811-11-03",0.99
"1811-12-01",0.93
"1812-01-05",0.96
"1812-01-31",0.93
"1812-03-01",0.9
"1812-04-05",0.89
"1812-05-03",0.88
"1812-06-07",0.84
"1812-07-05",0.83
"1812-07-31",0.81
"1812-09-06",0.81
"1812-10-04",0.8
"1812-11-01",0.8
"1812-12-06",0.8
"1813-01-03",0.8
"1813-02-07",0.81
"1813-03-07",0.81
"1813-04-04",0.81
"1813-04-30",0.81
"1813-06-06",0.81
"1813-07-04",0.82
"1813-08-01",0.83
"1813-09-05",0.83
"1813-10-03",0.84
"1813-11-07",0.86
"1813-12-05",0.89
"1813-12-31",0.96
"1814-02-06",1.01
"1814-03-06",1.08
"1814-04-03",1.14
"1814-05-01",1.18
"1814-06-05",1.22
"1814-07-03",1.3
"1814-08-07",1.35
"1814-09-04",1.43
"1814-09-30",1.45
"1814-11-06",1.47
"1814-12-04",1.48
"1815-01-01",1.48
"1815-02-05",1.49
"1815-03-05",1.5
"1815-03-31",1.51
"1815-05-07",1.51
"1815-06-04",1.52
"1815-06-30",1.54
"1815-08-06",1.55
"1815-09-03",1.56
"1815-10-01",1.57
"1815-11-05",1.56
"1815-12-03",1.56
"1816-01-07",1.55
"1816-02-04",1.55
"1816-03-03",1.54
"1816-04-07",1.54
"1816-05-05",1.54
"1816-05-31",1.52
"1816-07-07",1.5
"1816-08-04",1.49
"1816-09-01",1.49
"1816-10-06",1.49
"1816-11-03",1.5
"1816-12-01",1.5
"1817-01-05",1.47
"1817-01-31",1.52
"1817-02-28",1.52
"1817-04-06",1.53
"1817-05-04",1.53
"1817-06-01",1.54
"1817-07-06",1.56
"1817-08-03",1.6
"1817-09-07",1.62
"1817-10-05",1.65
"1817-10-31",1.68
"1817-12-07",1.7
"1818-01-04",1.73
"1818-02-01",1.78
"1818-03-01",1.81
"1818-04-05",1.83
"1818-05-03",1.84
"1818-06-07",1.84
"1818-07-05",1.85
"1818-07-31",1.89
"1818-09-06",1.89
"1818-10-04",1.88
"1818-11-01",1.89
"1818-12-06",1.89
"1819-01-03",1.88
"1819-02-07",1.88
"1819-03-07",1.88
"1819-04-04",1.88
"1819-04-30",1.88
"1819-06-06",1.87
"1819-07-04",1.86
"1819-08-01",1.84
"1819-09-05",1.82
"1819-10-03",1.78
"1819-11-07",1.77
"1819-12-05",1.75
"1819-12-31",1.74
"1820-02-06",1.74
"1820-03-05",1.74
"1820-03-31",1.76
"1820-05-07",1.77
"1820-06-04",1.8
"1820-06-30",1.81
"1820-08-06",1.83
"1820-09-03",1.87
"1820-10-01",1.9
"1820-11-05",1.91
"1820-12-03",1.93
"1821-01-07",1.96
"1821-02-04",1.98
"1821-03-04",1.99
"1821-04-01",2
"1821-05-06",1.96
"1821-06-03",2.07
"1821-07-01",2.08
"1821-08-05",2.09
"1821-08-31",2.08
"1821-10-07",2.08
"1821-11-04",2.08
"1821-11-30",2.09
"1822-01-06",2.08
"1822-02-03",2.07
"1822-03-03",2.06
"1822-04-07",2.03
"1822-05-05",2.02
"1822-05-31",2.03
"1822-07-07",2.02
"1822-08-04",1.98
"1822-09-01",2
"1822-10-06",1.99
"1822-11-03",1.99
"1822-12-01",2
"1823-01-05",2.05
"1823-01-31",2.01
"1823-02-28",2.01
"1823-04-06",2.01
"1823-05-04",2.02
"1823-06-01",2.03
"1823-07-06",2.04
"1823-08-03",2.05
"1823-09-07",2.08
"1823-10-05",2.09
"1823-10-31",2.11
"1823-12-07",2.12
"1824-01-04",2.15
"1824-02-01",2.17
"1824-03-07",2.19
"1824-04-04",2.2
"1824-04-30",2.21
"1824-06-06",2.24
"1824-07-04",2.33
"1824-08-01",2.34
"1824-09-05",2.34
"1824-10-03",2.34
"1824-11-07",2.34
"1824-12-05",2.37
"1824-12-31",2.33
"1825-02-06",2.27
"1825-03-06",2.25
"1825-04-03",2.22
"1825-05-01",2.21
"1825-06-05",2.2
"1825-07-03",2.2
"1825-08-07",2.19
"1825-09-04",2.17
"1825-09-30",2.13
"1825-11-06",2.1
"1825-12-04",2.08
"1826-01-01",2.07
"1826-02-05",2.06
"1826-03-05",2.01
"1826-03-31",2.01
"1826-05-07",2.02
"1826-06-04",2.03
"1826-06-30",2.02
"1826-08-06",2.02
"1826-09-03",2.01
"1826-10-01",2
"1826-11-05",1.99
"1826-12-03",1.99
"1827-01-07",1.97
"1827-02-04",1.98
"1827-03-04",1.99
"1827-04-01",2
"1827-05-06",2.02
"1827-06-03",2.03
"1827-07-01",2.06
"1827-08-05",2.09
"1827-08-31",2.1
"1827-10-07",2.11
"1827-11-04",2.08
"1827-11-30",2.05
"1828-01-06",2.02
"1828-02-03",1.99
"1828-02-29",1.95
"1828-04-06",1.93
"1828-05-04",1.91
"1828-06-01",1.92
"1828-07-06",1.92
"1828-08-03",1.94
"1828-09-07",1.93
"1828-10-05",1.93
"1828-10-31",1.91
"1828-12-07",1.9
"1829-01-04",1.9
"1829-02-01",1.89
"1829-03-01",1.89
"1829-04-05",1.9
"1829-05-03",1.92
"1829-06-07",1.88
"1829-07-05",1.94
"1829-07-31",1.97
"1829-09-06",1.99
"1829-10-04",2.02
"1829-11-01",2.08
"1829-12-06",2.1
"1830-01-03",2.11
"1830-02-07",2.15
"1830-03-07",2.2
"1830-04-04",2.24
"1830-04-30",2.34
"1830-06-06",2.37
"1830-07-04",2.38
"1830-08-01",2.42
"1830-09-05",2.45
"1830-10-03",2.45
"1830-11-07",2.45
"1830-12-05",2.41
"1830-12-31",2.39
"1831-02-06",2.38
"1831-03-06",2.34
"1831-04-03",2.29
"1831-05-01",2.25
"1831-06-05",2.22
"1831-07-03",2.2
"1831-08-07",2.18
"1831-09-04",2.15
"1831-09-30",2.12
"1831-11-06",2.1
"1831-12-04",2.09
"1832-01-01",2.09
"1832-02-05",2.1
"1832-03-04",2.12
"1832-04-01",2.12
"1832-05-06",2.13
"1832-06-03",2.19
"1832-07-01",2.23
"1832-08-05",2.27
"1832-08-31",2.38
"1832-10-07",2.44
"1832-11-04",2.52
"1832-11-30",2.62
"1833-01-06",2.69
"1833-02-03",2.77
"1833-03-03",2.9
"1833-04-07",2.98
"1833-05-05",3.05
"1833-05-31",3.1
"1833-07-07",3.11
"1833-08-04",3.06
"1833-09-01",2.97
"1833-10-06",2.89
"1833-11-03",2.84
"1833-12-01",2.7
"1834-01-05",2.62
"1834-01-31",2.59
"1834-02-28",2.54
"1834-04-06",2.54
"1834-05-04",2.55
"1834-06-01",2.57
"1834-07-06",2.64
"1834-08-03",2.77
"1834-09-07",2.83
"1834-10-05",2.89
"1834-10-31",2.99
"1834-12-07",3.04
"1835-01-04",2.87
"1835-02-01",3.25
"1835-03-01",3.47
"1835-04-05",3.58
"1835-05-03",3.62
"1835-06-07",3.7
"1835-07-05",3.82
"1835-07-31",3.88
"1835-09-06",3.79
"1835-10-04",3.71
"1835-11-01",3.66
"1835-12-06",3.62
"1836-01-03",3.55
"1836-02-07",3.52
"1836-03-06",3.53
"1836-04-03",3.54
"1836-05-01",3.53
"1836-06-05",3.41
"1836-07-03",3.27
"1836-08-07",3.11
"1836-09-04",2.99
"1836-09-30",2.91
"1836-11-06",2.81
"1836-12-04",2.74
"1837-01-01",2.72
"1837-02-05",2.67
"1837-03-05",2.54
"1837-03-31",2.44
"1837-05-07",2.39
"1837-06-04",2.37
"1837-06-30",2.2
"1837-08-06",2.18
"1837-09-03",2.18
"1837-10-01",2.23
"1837-11-05",2.28
"1837-12-03",2.23
"1838-01-07",2.14
"1838-02-04",2.1
"1838-03-04",2.07
"1838-04-01",2.01
"1838-05-06",2.03
"1838-06-03",2.06
"1838-07-01",2.38
"1838-08-05",2.15
"1838-08-31",2.23
"1838-10-07",2.21
"1838-11-04",2.18
"1838-11-30",2.17
"1839-01-06",2.14
"1839-02-03",2.11
"1839-03-03",2.12
"1839-04-07",2.15
"1839-05-05",1.97
"1839-05-31",2.05
"1839-07-07",1.99
"1839-08-04",1.92
"1839-09-01",1.8
"1839-10-06",1.72
"1839-11-03",1.68
"1839-12-01",1.66
"1840-01-05",1.6
"1840-01-31",1.57
"1840-03-01",1.59
"1840-04-05",1.61
"1840-05-03",1.62
"1840-06-07",1.62
"1840-07-05",1.61
"1840-07-31",1.6
"1840-09-06",1.72
"1840-10-04",1.73
"1840-11-01",1.73
"1840-12-06",1.74
"1841-01-03",1.67
"1841-02-07",1.61
"1841-03-07",1.58
"1841-04-04",1.54
"1841-04-30",1.52
"1841-06-06",1.52
"1841-07-04",1.53
"1841-08-01",1.57
"1841-09-05",1.57
"1841-10-03",1.53
"1841-11-07",1.42
"1841-12-05",1.34
"1841-12-31",1.25
"1842-02-06",1.23
"1842-03-06",1.2
"1842-04-03",1.15
"1842-05-01",1.11
"1842-06-05",1.11
"1842-07-03",1.12
